辨識碼,卦序,卦名,爻辭,白話解析
4122222,23,剝,六四，剝牀以膚，凶。,牀已經剝爛到肌膚，凶。比喻大難已經臨頭，災禍直接降臨在身上，當然為凶。
5122222,23,剝,六五，貫魚，以宮人寵，无不利。,後宮嬪妃有如魚貫般很有秩序的排列，受到寵愛，無往不利。
6122222,23,剝,上九，碩果不食，君子得輿。小人剝廬。,豐碩的果實不能吃，君子因此而得車而行，小人卻房舍毀壞，最後無法使用。豐碩的果實最後無法讓人所享用，腐爛而落地，比喻無法享受豐收之成果。若是君子，反而可藉此獲得民心，故曰「得輿」。對小人而言，因只顧自己一時生計，終究不會利用，所以有房子剝爛，傾家蕩產的危機。
1222221,24,復,初九，不遠復，无祇悔，元吉。,不遠就回來，不用後悔，大吉。
2222221,24,復,六二，休復，吉。,一路順風，漂亮的回到家！吉。不二過，見賢而思齊，一有過錯馬上就改過，吉。
3222221,24,復,六三，頻復，厲，无咎。,憂心而回家，艱苦，但無罪咎。因為擔心有危險而回家，沒有罪咎。因為有憂慮而改過遷善，所以雖然有危險，但是終究還是不會有罪咎。
4222221,24,復,六四，中行獨復。,自己走中間大道回家。此比喻君子特立獨行，不茍同於世俗而能守住正道。
5222221,24,復,六五，敦復，无悔。,敦厚老實地回家，無悔。敦復之所以無悔，是因為內心會自己反省改過。坤為厚載，敦厚之象。如臨卦上卦為坤，上六亦曰敦臨。或可解釋為敦厚之人回家，敦厚之人心思少，一但出門，時間到了自然而然一定會回家，言老實淳樸之人，心思單純而無心機，或有犯錯，也很自然的會改過。另一解釋以敦為督促，敦促的敦，自我提醒的意思，敦復意思為自我提醒、自我監督而回家。比喻能夠自我督促、考察以避免犯錯。
6222221,24,復,上六，迷復，凶，有災眚，用行師，終有大敗，以其國君，凶，至于十年不克征。,迷路而回不到家，凶，有災禍。出師打仗最後大敗，殃及國君，凶，十年都無法再出征。此喻人迷途而不知返，一路錯到底。因上六離初九最遠，與內亦無應，迷而不返之象。
1111221,25,無妄,初九，无妄往，吉。,發生意料之外的事而前往，吉。傳統解釋為行為不虛妄，行動一開始就不敢有所妄動，以這種謹慎小心的態度前往則吉。
2111221,25,無妄,六二，不耕穫，不菑畬，則利有攸往。,不耕田就想收穫，不開墾荒地就想要有熟田可耕重。此告戒人不當有不勞而穫的期望，如此則凶。
3111221,25,無妄,六三，无妄之災。或繫之牛，行人之得，邑人災也。,預料之外的災難。有人綁了牛，路過的人順手牽走了，但村人就因此遭災了。此言有人將牛綁著，可能是綁在樹旁，被剛好路過的人順手牽走，於是引來了村民的一場災難。至於什麼災難？有人認為就是主人遺失了牛。有人認為，因為主人發現牛不見之後告官，而讓無辜的村民遭到拘捕。
4111221,25,無妄,九四，可貞，无咎。,可以貞定，沒有罪咎。意謂自己本來就有了，所以貞定為吉，不需外求。
5111221,25,無妄,九五，无妄之疾，勿藥有喜。,死不了的疾病，或意外的疾病，不用吃藥就會痊癒。
6111221,25,無妄,上九，无妄行，有眚，无攸利。,意料之外的行程，有災難，無所利。無妄行為突然而來的意外之行，這是在計畫之外，因此讓人不知所措。
1122111,26,大畜,初九，有厲，利已。,有危險，宜停止。厲，危險。利已有多種解釋：一是利益已經結束。已，結束。二是宜於停止。三已為祀，利祀即宜於祭祀。
2122111,26,大畜,九二，輿說輹。,車輪輻脫落，因此無法前進。用來固定車輪軸的革繩脫落，當然不可行。
3122111,26,大畜,九三，良馬逐，利艱貞，曰閑輿衛，利有攸往。,駕著馬車，優良的駿馬飛奔，宜艱苦貞定。每天熟習駕車防衛的技術，利有所往。此爻言有志氣的人技藝精湛，能力高人一等，但仍然每天自我精進，提升自己的能力，因此利有所往。以自己的才能和見識前往，必定受到重用，且能勝任所擔任的責任。
4122111,26,大畜,六四，童牛之牿，元吉。,小牛的牛牿，大吉。在小牛的牛角還未長出來之前，就先綁好牛牿，避免牛長大後會用角刺人。由於能防患於未然，吉，有喜。此比喻做事情有先見之明，防患於未然則吉。
5122111,26,大畜,六五，豶豕之牙，吉。,閹豬的牙，不會傷人，沒什麼好怕的，吉。閹豬巨大，但空有其表，不足為懼，沒有危險性，故為吉。
6122111,26,大畜,上九，何天之衢，亨。,走到康莊大道，亨通。直接通達天衢。積畜到極點，一飛沖天，能擔當國家的大事，飛黃騰達。
1122221,27,頤,初九，舍爾靈龜，觀我朵頤，凶。,捨棄你的靈龜不用，看我大快朵頤，凶。不知要守靜以畜養自己精神的靈明，反而看著別人大快朵頤而羨慕不已，並進而焦躁不安。若能謹守靜養之道，則福氣自然會來，但若是急著追逐欲望，反而會自取其辱。
2122221,27,頤,六二，顛頤，拂經。于丘頤，征凶。,顛倒向下求養，違背常理。往高處求養，又所求非人，征凶。
3122221,27,頤,六三，拂頤，貞凶，十年勿用，无攸利。,違背頤養之道，貞定為凶。十年都不得用，無所利。錯誤的頤養之道當然不宜堅守，因此說「貞凶」。
4122221,27,頤,六四，顛頤，吉，虎視眈眈，其欲逐逐，无咎。,顛倒向下求養，吉。老虎行走時視線往下看，追逐獵物的欲望自然流露而出，沒有罪咎。有如老虎之求養於外，專注於獵物，雖然眼睛看得很近但是內心想的卻很遠。雖然慾望很清楚地表現在外，但因出於自然，所以顯得樸實而敦厚。
5122221,27,頤,六五，拂經，居貞吉，不可涉大川。,違背頤養之道的常理，守正居靜則吉，不可以涉水行險。
6122221,27,頤,上九，由頤，厲吉，利涉大川。,頤養之道的源頭，艱苦則吉，利於涉大川行險。
1211112,28,大過,初六，藉用白茅，无咎。,以白茅做為敬獻，謹慎其事，沒有罪咎。過於謹慎，但可因此免於罪咎。陰柔而又謹慎，可說是過度謹慎，但因為正處動盪的時候，所以謹慎正可以保得平安。
2211112,28,大過,九二，枯楊生稊，老夫得其女妻，无不利。,枯萎的楊樹生根發出新芽，重現生機，猶如老丈人得到年輕的妻子，無往不利。大過之為凶，在於陽剛過盛而呈棟樑彎曲，房子結構不穩，澤滅木。大過之為亨在於陽剛者得陰之相濟，則陰陽調和。
3211112,28,大過,九三，棟橈，凶。,棟樑彎曲不正，凶。
4211112,28,大過,九四，棟隆，吉，有它吝。,棟樑穩固，吉，但會有意外而悔恨。
5211112,28,大過,九五，枯楊生華，老婦得其士夫，无咎无譽。,枯萎的楊樹開花，老婦人嫁給年輕力壯的丈夫，雖沒罪咎，但也沒什麼好名聲。老樹發芽是生機重現，但若是開花則是死亡前的迴光反照，所以枯楊開花是很不吉利的事，不可被美麗的花所欺騙。而老婦再嫁給少男，不被風俗民情所容，所以應防名譽掃地。
6211112,28,大過,上六，過涉滅頂，凶，无咎。,明知水深危險而仍強力涉水，以至慘遭滅頂，凶。此為壯烈成仁，舍身取義之義。得此卦雖凶險萬分，有滅頂死亡的危險，但因不論個人利害，義之所當為而為，是很令人敬佩的烈士，所以說沒有罪咎。
1212212,29,坎,初六，習坎，入于坎窞，凶。,雙重的坎險，落入更深的坎陷裡，凶。
2212212,29,坎,九二，坎有險，求小得。,坎洞中有手枕，雖沒有枕頭，但也算是小小的獲得。「坎有險」傳統解釋為坎洞中有危險。九二居於下坎的中間，因此仍居於危險之中，此為坎有險。但因本性剛強又居中，具有陽剛而中正的美德，是能夠自力救濟者，因此說求小得。雖能有小得，但仍居於危險的境地，也只是險中求通，並非化險為夷，也未脫離危險。雖能夠險中求通，小事求之可有獲得，但大事不行。
3212212,29,坎,六三，來之坎坎，險且枕，入于坎窞，勿用。,進退都是牢坎，有手枕暫且充當枕頭。進入了地牢坎洞裡，凡事皆不可行。六三失位乘剛，處於兩個坎險交界之處，又是多凶的爻位，進退都是坎險，因此凡事都不可行。檢且枕，以檢（手枕）為枕頭，要人安之若命之義。
4212212,29,坎,六四，樽酒，簋貳，用缶，納約自牖，終无咎。,一樽酒，二盤食物，以及裝水的瓦罐，將如此簡約的飲食從窗戶送進，最後無罪咎。六四已脫離內部的危險，只要再渡過外部這一關就能夠出險。
5212212,29,坎,九五，坎不盈，祗既平，无咎。,坎陷並未填滿，小土丘已挖平，免於罪咎。坎險雖然還未完全渡過，但是署光已現，沒有永遠的坎險。小土邱已平，比喻平安之日已近，故曰無咎。
6212212,29,坎,上六，係用徽纏，寘于叢棘，三歲不得，凶。,被繩子綑綁起來，囚禁在荊棘所設的圍牆裡面。三年都無法逃脫，凶。
1121121,30,離,初九，履錯然，敬之，无咎。,穿的鞋子像是涂金的，小心或尊敬他，就不會有罪咎。錯為涂金，錯然就是像涂金的樣子。此為能夠從小處細微處看人看事，能明察秋毫，觀察入微。從鞋子就看出一個人的身份、地位，知來者腳下踩的鞋子都如此華麗光鮮，當然要心存敬畏，以避免犯錯惹禍上身。
2121121,30,離,六二，黃離，元吉。,黃色的美麗，大吉。黃為「中色」，象徵中庸的美德。
3121121,30,離,九三，日昃之離，不鼓缶而歌，則大耋之嗟，凶。,日落的美麗，不敲盆唱歌，就只能老來等死空哀嘆，凶。言日薄西山的美麗是無法持久的，因此讓人有種哀愁別離之感。但這是天道循環無法改變的常理，「鼓缶而歌」是勸人對於人生必需豁達，要能夠活在當下，享受最平凡的快樂，隨興而歌。不然以將死的高齡，也只能空自哀嘆，那麼就只有凶咎可言。
4121121,30,離,九四，突如其來如，焚如，死如，棄如。,火災來得非常突然讓人反應不過，前火未滅後火又起，火勢熊熊燃燒，毫無生路，死路一條，一片死灰。
5121121,30,離,六五，出涕沱若，戚嗟若，吉。,眼淚鼻涕一直流，憂慮歎息。吉。離卦的吉道在中庸，六五之君雖有災臨身以致於痛哭流涕，哀戚悲歎，但因有柔順而中庸的美德，知所憂慮警惕，因此反而能夠化險為夷，轉危為安，最後變成吉。此亦警惕人當有憂慮之心，才可為吉。
6121121,30,離,上九，王用出征，有嘉，折首，獲匪其醜，无咎。,大王派遣出征，有戰功，拿下敵人首腦，捕獲的不是同族類的人，沒有罪咎。
1211122,31,咸,初六，咸其拇。,感應到拇指。拇指是易動又很末稍的地方，意謂過於妄動，且難以感動人心，給人的感動非常膚淺而不實。咸若解釋作砍傷，那麼此爻就是砍傷了姆指。初位在六爻中為趾、拇之象。
2211122,31,咸,六二，咸其腓，凶，居吉。,感應到小腿肚，凶。居靜不動為吉。小腿是極好動的部位，象徵過於躁動，因此而遭致凶災，最好是居靜不要妄動則吉。或者可解釋為砍傷了小腿，凶。安靜不動就吉。居為不動，靜、定的意思。
3211122,31,咸,九三，咸其股，執其隨，往吝。,傷到大腿，捕捉到他的隨從，前往將悔恨。傳統解釋為感應到大腿，固執於其跟隨者（腳），以此前往將悔恨。股是大腿，股隨足而動，「隨」即足。此比喻人完全沒有自己的主見與立場，只會跟隨別人。
4211122,31,咸,九四，貞吉，悔亡。憧憧往來，朋從爾思。,貞定則吉，不會有後悔。反之，若內心憂慮而想法搖擺不定，讓朋友們全都跟著你的想法而無所適從，那麼就有悔。言意志要堅定則吉而悔亡。反之，意志不堅，心猿意馬，搖擺不定則會後悔。
5211122,31,咸,九五，咸其脢，无悔。,感應到背脊，無所悔恨。脢音梅，脊背肉。咸其脢，感應到脊背。各爻都有感而動，唯有此爻寂靜而不為所動。九五處尊位，感而仍居靜不動，好的一面來看為公正而冷靜，壞的一面來看則是冷寞而無憂憫感人之懷抱，所以《象傳》說「志末也」。只能免於後悔，無法成大事。
6211122,31,咸,上六，咸其輔頰舌。,感應到嘴巴。此比喻有口無心，只是嘴巴說說，空口說白話，不足以為信。
1221112,32,恆,初六，浚恒，貞凶，无攸利。,要求過深的恒道，堅定則凶，沒有利益。初爻為恒卦一開始的時候，一開始就要求過深，苛刻無理之道，無以長久，若堅定此道為凶，無利益。初在最下最深之處，故為浚。此有如兩人才剛開始在一起，就苛責太過，反而有違和諧。
2221112,32,恆,九二，悔亡。,後悔消失。因為能長久秉持中庸之道，所以能夠不再後悔。悔亡意指原本應當有悔，後來因為行為正確而不再有悔。九二悔亡，是因為能夠堅守中庸之道，也就是「久中」。
3221112,32,恆,九三，不恒其德，或承之羞，貞吝。,不能長久維持美德，可能因此而引來羞辱，堅定則悔恨。
4221112,32,恆,九四，田无禽。,田獵抓不到獵物。長久都不在其位，言做事無恒心，荒廢很久，當然無法有任何收穫。禽泛指飛禽走獸、獵物。
5221112,32,恆,六五，恒其德貞，婦人吉，夫子凶。,能夠長久堅定其美德，從一而終，對女子而言，這是很好的德性，大吉。但對於男子而言，身為義理的制定者，本應剛強果斷，有自己的主見，反而採取柔順之婦道，有優柔寡斷、無法成大事之象，凶。
6221112,32,恆,上六，振恒，凶。,改變原本穩固的常態，凶。原本事情已經穩定，一切有一定的軌道，現在卻輕舉妄動，貿然改變做法，違背過去的慣例，不但不能成事，反而動搖既有的根本，凶。
1111122,33,遯,初六，遯尾厲，勿用有攸往。,逃離在最後，危險，那裡都不要去。
2111122,33,遯,六二，執之用黃牛之革，莫之勝說。,以黃牛的皮革將它綁緊，牢固而無法鬆脫。革卦作「鞏用黃牛之革」，原指用皮革將豬綁緊讓它無法逃脫。後儒解釋認為這是比喻人之意志堅定，有如用黃牛的皮革綁緊一樣的牢靠。
3111122,33,遯,九三，係遯，有疾，厲，畜臣妾吉。,心有牽掛的逃離，有疾病，危險。畜養臣妾吉。無法擺脫名利的束縛，深深眷戀著過往，無法超然物外。雖然是應該隱居逃去的時候，但仍念念不忘富貴名利。諸如畜養臣妾等小事為吉，但對於一些國家大事，或是公務，則是凶。隱喻只能做些偏邪小事，不足以成大器。
4111122,33,遯,九四，好遯，君子吉，小人否。,好的隱退，君子吉，小人閉塞不通。這時介於功名利祿與隱退求去的兩種選擇之間，但也正是隱退的好時機。君子能捨功名利祿而瀟洒離去，故吉。小人則會選擇世俗的名利，無法斷然隱退，故閉塞不通。
5111122,33,遯,九五，嘉遯，貞吉。,美好的隱退，貞定則吉。
6111122,33,遯,上九，肥遯，无不利。,自得而寬裕的逃離，無所不利。達到了隱退的最高境界，已有仙風道骨，天子都無法命令於你，達官貴人也無法和你高攀。心中無所懷疑，而能完全超然物外，對於世俗的榮辱名利，完全能看開。無所不利。
1221111,34,大壯,初九，壯于趾，征凶，有孚。,壯大在腳趾，出征一定是凶。初位為趾，故曰趾。趾有行動之初的意思，也隱喻這是末稍、卑微、無足輕重、妄動。壯于趾比喻這是空有樣子的壯盛，以此出征，必凶無疑。
2221111,34,大壯,九二，貞吉。,貞定為吉。大壯的吉道在於中庸、冷靜。九二有中庸之道，中立而不偏頗，因此而吉。
3221111,34,大壯,九三，小人用壯，君子用罔，貞厲。羝羊觸藩，羸其角。,小人只會用蠻力，君子則知道要用網子，堅定則有危險。就好比公羊若頂撞圍籬，羊角就會因此被困住。小人以氣勢凌人來表現自己的勇猛，而君子則深謀遠慮，知壯大蠻幹之危害，用壯反而為壯所困。如果堅定固執於壯，則會艱苦或危險。就如蠻幹的公羊，仗著自己有堅硬的羊角而頂撞圍籬，只知進不知退，羊角因此被卡住而進退不得。此言君子小人的差別，在於對於用「壯」的洞察，小人有力無腦，君子洞知先機。
4221111,34,大壯,九四，貞吉，悔亡。藩決不羸，壯于大輿之輹。,貞定則吉，不再後悔。撞倒了圍籬之後完全沒有衰弱的跡像，進一步還撞壞了車子輪輻。言氣勢過於旺盛，則只有破壞，讓事情一團亂。但若能夠冷靜，則能夠變吉，不用後悔。
5221111,34,大壯,六五，喪羊于易，无悔。,在有易這個地方損失了羊群，無所後悔。「喪羊於易」傳統解釋為在空地上羊走失了，或解釋為因為過於鬆懈而讓羊走失。比喻已經不再氣盛。
6221111,34,大壯,上六，羝羊觸藩，不能退、不能遂，无攸利，艱則吉。,公羊用羊角頂撞籬笆，羊角卡住，不能進也不能退。沒有任何好處，艱苦則吉。此以公羊比喻衝撞反而讓事情陷入進退兩難的僵局，沒有任何好處。若反過來，能夠冷靜堅定，吃苦耐勞則吉。
1121222,35,晉,初六，晉如摧如，貞吉。罔孚，裕无咎。,進退兩難，貞定則吉。不受信任，保持寬裕則不會有罪咎。
2121222,35,晉,六二，晉如愁如，貞吉，受茲介福，于其王母。,上進卻又讓人感到憂愁，貞定則吉，可得到王母很大的賞賜。
3121222,35,晉,六三，眾允，悔亡。,眾人允諾，不再後悔。六三承四應上，率眾陰承順於九四君子，因此能得眾人之允許、信任。眾人皆認同，因此無悔。
4121222,35,晉,九四，晉如鼫鼠，貞厲。,像鼫鼠一樣的往上爬，堅持則危險。「如鼫鼠」比喻有如小人，貪婪而到處鑽營，因此不可堅定於此。
5121222,35,晉,六五，悔亡，失得勿恤，往，吉无不利。,不再後悔，不要在意得失，放心前往，將吉而無往不利。
6121222,35,晉,上九，晉其角，維用伐邑，厲吉无咎，貞吝。,晉升到頂點，只能用軍隊鎮壓來維持城內秩序。艱苦則吉而無咎，若堅守這種處事方法則將有悔恨。
1222121,36,明夷,初九，明夷于飛，垂其翼，君子于行，三日不食，有攸往，主人有言。,明夷鳥（金烏）飛了過來，翅膀下垂遮天，天地一片黑暗。君子逃難出行，三天沒東西吃，有長遠的路要走，主人以言語相譏。此處的明夷為金烏鳥，明夷于飛講的是巨大的流星從天而降，古代認為這是會飛的太陽。
2222121,36,明夷,六二，明夷，夷于左股，用拯馬壯吉。,光明隕落消失，傷到了左大腿，能有強壯的馬來拯救則吉。在大隕石掉落的這場災難裡，傷到了左大腿而難以逃亡，但因為有強壯的馬而得以逃離。這裡的「吉」，是指在動亂中逃難生存下來，沒有被殺害，所以是大難不死的吉，並不是飛黃騰達、萬事如意的吉。或者可以說是不幸中的大幸，真實處境是大凶，只是能夠化險為夷而已。
3222121,36,明夷,九三，明夷于南狩，得其大首，不可疾貞。,光明隕落於往南巡狩的時候，去除了罪魁禍首，不可為推行正道而操之過急。出征可以有很大的斬獲，遂其所願，但注意凡事不可操之過急。
4222121,36,明夷,六四，入于左腹，獲明夷之心，于出門庭。,以不正的手段接近了昏君，成為他的心腹，然後在門外耀武揚威。此言小人以偏邪的方法接近昏君，助紂為虐，為虎作倀。
5222121,36,明夷,六五，箕子之明夷，利貞。,箕子處亂世而能隱藏其聰明，韜光養晦，利於貞定。此處明夷的明當指聰明，明夷意指箕子能夠隱藏自己的聰明。
6222121,36,明夷,上六，不明晦，初登于天，後入于地。,黑暗至極！明夷鳥先是飛上了天空，接著又墜落地上。
1112121,37,家人,初九，閑有家，悔亡。,整肅家風，建立家道，預防家中成員的散亂。建立家風，免於後悔。
2112121,37,家人,六二，无攸遂，在中饋，貞吉。,沒什麼才能，只會燒飯煮菜，貞定則吉。言女子雖沒有什麼才能，但能夠完全勝任家中的內務，將家中一切打理的很好。
3112121,37,家人,九三，家人嗃嗃，悔厲吉。婦子嘻嘻，終吝。,人很嚴厲，後悔又艱苦之後就是吉。反之，如果家裡婦女小孩嬉鬧，最後會悔恨。一家之主治家嚴格，對家人大聲斥罵，使得家中女人小孩都因此而害怕。治家過於嚴厲不免有傷恩慈，但也由於能夠整治，所以才能漸趨於吉，雖然過程會有些艱苦。反之，若家中婦女小孩嬉鬧不端莊，治家不嚴，那麼就會悔吝。
4112121,37,家人,六四，富家，大吉。,能夠治理家務，事事進入軌道，家道興旺，享有富貴，大吉。
5112121,37,家人,九五，王假有家，勿恤，吉。,大王以寬大治家，不用擔憂，吉。家和萬事興，就連為人之君者，也要從治理家道而做起。由於家道已成，所以心中大可不必憂慮。大王以寬大治家，大家能彼此互相相愛，所以諸事和諧，吉。
6112121,37,家人,上九，有孚威如，終吉。,有誠信，又有威嚴，最後為吉。能夠以身作則，經常反身自省，有誠信與威嚴，家道當興。治理家道如過於注重禮數則有礙親情，但如果過於注重和樂則會失於教養。此爻過於注重威嚴，能治理家道，但應避免有傷親情。不過只要是出自真心真愛，最終為吉。
1121211,38,睽,初九，悔亡，喪馬勿逐，自復。見惡人，无咎。,不再後悔，失去的馬不用去追逐，自己會跑回來。見到惡人，沒有罪咎。正處於睽違孤獨的時候，應有去者不追，來者不拒的心理準備，凡事不可強求。失去的馬，不必去追逐，該回來的時候它自然會回來；有惡人來，也不能拒絕，還是必需與他見面，以避免罪咎。處睽乖的時候，事事動輒得咎，凡事不宜主動，處於被動而順應所發生的事，無可無不可，才能免於後悔與罪咎。
2121211,38,睽,九二，遇主于巷，无咎。,在小巷內與主人相遇，沒有罪咎。正當睽違之時，雖然君臣能互相欣賞，但卻無法在正式的場合相見，只有互相委屈，在無人的巷道裡偷偷會面。得此爻，若是為人主管要求才，則無法以正式的手段求得，必須求之於巷道，臺面下運籌；而如果是要謀事，也當如此。
3121211,38,睽,六三，見輿曳，其牛掣，其人天且劓，无初有終。,見到有人因車子難以前進而在拉車，雖然牛仰頭使力但仍不能前進。這個人額頭上有因犯罪而有的刺青，鼻子被割掉。開始很糟糕，但最後算是有個結果。此言車子前進時困難，以致於牛很使力，主人也下去幫忙推拉，仍然很難行。或許可能超載，或許可能操作不當。車子是遠行及載物的工具，車子困住比喻事情前進有困難，停頓無法前進。
4121211,38,睽,九四，睽孤，遇元夫，交孚，厲无咎。,分離而孤獨，遇到一個大丈夫，彼此交心互信，艱苦則沒有罪咎。雖然處境受到孤立，孤獨無援到極點，但由於遇到與自己同德的朋友，能以誠心相交而共處時艱，終能免於罪咎。
5121211,38,睽,六五，悔亡，厥宗噬膚，往何咎。,不再後悔，君主吃好吃的肉，前往不會有罪咎。
6121211,38,睽,上九，睽孤，見豕負塗，載鬼一車。先張之弧，後說之弧。匪寇婚媾，往遇雨則吉。,分離而孤獨，見到豬全身包著泥巴，載著一車子的鬼怪。先對著他們張弓，然後又將弓鬆脫。來者不是盜賊，是來求婚的，前往，遇到下雨則吉。此比喻見到的怪事太多，讓人心生許多疑慮，一下子見到全身裹滿泥土的豬（比喻見到的事很污穢骯髒），一下子見到載滿鬼怪的車子（比喻詭譎到極點）。因此讓人一下子張弓，一下子又將弓鬆脫。遇雨，象徵事情終於明朗，疑慮盡釋。
1212122,39,蹇,初六，往蹇，來譽。,前進會遇到困難，退後則會得到聲譽。處於蹇難的時刻，若是硬要前進則會更加危險，但如果能後退一步，則反而能得到好的名聲。應採取保守態度，宜退守，不宜進取。
2212122,39,蹇,六二，王臣蹇蹇，匪躬之故。,君王及臣子遇到雙重的蹇難，並不是自己的原因。時運不濟，當大環境大變動的時候，君臣都蒙難，君憂臣辱，無法互相救助。這完全是時運問題，不是自己的問題。
3212122,39,蹇,九三，往蹇來反。,前進有難，還是回來比較好，回來會有喜。往、來分別指前進與退守。往蹇，前進會有難。來反，回來的意思。回來會有喜。
4212122,39,蹇,六四，往蹇來連。,前進有難，退守則可得到盟友。
5212122,39,蹇,九五，大蹇朋來。,最險難的時候，朋友來。得此爻雖遇大難，但除自己本性陽剛得以自救之外，還將有多方朋友來相助，化險為夷。
6212122,39,蹇,上六，往蹇來碩，吉，利見大人。,前行則有難，回來則大有獲得，吉。利於見大人。已在蹇難的絕地，若是要再繼續往前，無人可以救濟，情勢將無法有所轉圜。但往回走則會得到很多幫助，能有很大的收獲。宜於拜見貴人，吉。
1221212,40,解,初六，无咎。,沒有罪咎。處於危難剛解除的時候，無所罪咎。此時宜安靜休養生息，將來才能凡事得宜。
2221212,40,解,九二，田獲三狐，得黃矢，貞吉。,打獵捕獲三隻狐狸，並獲得黃色的箭頭，貞定則吉。此比喻能去除邪惡的小人，並能秉持中庸之道，有獲利之象。田，田獵，打獵。狐，狐狸，為狡猾而多疑的動物，難以捕獲。此比喻奸詐的小人。田獲三狐，喻指處理了麻煩的人物。
3221212,40,解,六三，負且乘，致寇至，貞吝。,小人背負財物，又搭乘君子的車乘，招搖過市，而引來盜賊搶奪。貞定則有悔恨。此告戒人行事當守本份，不當踰越。當知密藏，不要炫耀。凡事當注意，自己的言行不當將會引來災禍。正所謂禍福無門，惟人自召。
4221212,40,解,九四，解而拇，朋至斯孚。,解救你的腳趾，朋友來了才終於可信。解而拇比喻事情跳譜，沒有對症下藥，無濟於事。
5221212,40,解,六五，君子維有解，吉，有孚于小人。,君子遭到拘繫得以獲解放，吉，讓小人信服。君子維有解另可解釋為因君子的維繫而得到解救。
6221212,40,解,上六，公用射隼于高墉之上，獲之，无不利。,王公藉以在高牆上射擊隼鳥，一發就中，無往不利。此比喻的是君子對於事件有所預見與準備，當事情發生時就能夠明快的處理。
1122211,41,損,初九，已事遄往，无咎，酌損之。,祭祀之事要火速前往，沒有罪咎。倒的酒可以減少一些。火速前往言參與祭祀的誠心。酌損之承上爻，祭祀重誠，有誠則精簡、減損無妨。另一解釋為，有事而火速前往，沒有罪咎。斟酌減損，不需減損太多。
2122211,41,損,九二，利貞，征凶。弗損，益之。,利於堅定，出征為凶。不需減損，反應當增益。宜於守住既有，不宜出征或進取。若能安於目前狀似平平的情勢，守住眼前狀況，未必會不利。但如果貿然前往，反而會帶來災難。以靜制動則小吉，出征則凶。
3122211,41,損,六三，三人行，則損一人。一人行，則得其友。,三人同行，則減少一人。若是一人獨自前往，則可得到朋友。此言事情宜獨自行事，不宜成群。引申又有專心一意，不宜一心多用的意思。
4122211,41,損,六四，損其疾，使遄有喜，无咎。,去除其疾病，快速則有喜，沒有罪咎。
5122211,41,損,六五，或益之十朋之龜，弗克違，元吉。,有人拿著價值十朋貝的烏龜來幫助，無法違背，大吉。龜在古時為神聖的決疑寶物，從選龜到如何處理、儲藏，都有嚴格的規矩。因此龜的幫助類似於我們在說「神明」保祐。
6122211,41,損,上九，弗損，益之，无咎，貞吉。利有攸往，得臣无家。,不要減損，應當增益。沒有罪咎，貞定則吉。利有所往，得到無私的大臣。
1112221,42,益,初九，利用為大作，元吉，无咎。,適於有大的作為，大吉則可免於罪咎。
2112221,42,益,六二，或益之十朋之龜，弗克違，永貞吉，王用享于帝，吉。,價值十朋貝的烏龜來幫助，無法違背，永保貞定為吉。大王藉以敬祀天帝，大吉。
3112221,42,益,六三，益之用凶事，无咎。有孚中行，告公用圭。,努力救濟凶阨之事，沒有罪咎。但應秉持誠信，行事中庸，必需慎重其事的秉告並取信於公侯。此事吃力不討好，不但要努力救火，還需小心謹慎避嫌，才能免於罪咎。
4112221,42,益,六四，中行，告公從，利用為依遷國。,秉持中庸之道行事，告訴主公則主公無不順從，甚至連遷國這麼大的事也可達成。君主聽從建議，上下共同協謀，基於對大局利益之考量，而遷國以安撫百姓。適於遷移，凡可遷移者都大吉。下屬則能得到上級的信任而得以做大事。
5112221,42,益,九五，有孚惠心，勿問元吉，有孚惠我德。,有誠信，而且能恩惠及於人心，此事不須問，大吉！我以誠信恩惠於人，人亦以誠信回報所受之恩德。施比受者有福，能利益於人，人亦回報於我。大吉。
6112221,42,益,上九，莫益之，或擊之。立心勿恒，凶。,不能幫助他人，因而受到各方的攻擊。完全沒有持久的恒心，凶。上九處益之上，益卦應該是損上益下的時候，但上九陽剛不當位，居於九五之尊的上面，非但不能利益於他人，還反過來要人利益於己，是無功而居功、邀功者。若偶有行善，也只因一己之利，所以無恒心可言。凶。
1211111,43,夬,初九，壯于前趾，往不勝為咎。,強壯於前腳趾，無法勝任就貿然前往會有罪咎。意氣剛強，貿然前往，然而無奈地位卑微，無決定能力而且無所依靠，所以雖然仗義而往，仍然為小人所傷。
2211111,43,夬,九二，惕號，莫夜有戎，勿恤。,憂慮的大聲警告戒備，小心夜晚會有盜賊來犯，有所防備就不需擔憂。
3211111,43,夬,九三，壯于頄，有凶。君子夬夬，獨行，遇雨若濡，有慍，无咎。,強壯於臉上，凶。君子心中憂慮猶疑不定，獨自行走，遇到了下雨而全身被淋濕，臉上不悅，但沒有罪咎。
4211111,43,夬,九四，臀无膚，其行次且；牽羊悔亡，聞言不信。,屁股受傷而沒有皮膚，讓人坐立難安，連走路都有困難。如果能夠把羊綁好牽好，不讓羊到處頂撞闖禍，就不會有事，當初這麼告誡就是不相信，今天才會弄成這個樣子。
5211111,43,夬,九五，莧陸夬夬，中行无咎。,馬齒莧的根拔了又拔，中庸而行則不會有罪咎。
